Text,language
Hello how are you today,English
I am going to the market,English
What time is the meeting,English
Thank you for your help,English
The weather is beautiful today,English
Can you please help me,English
I love learning new languages,English
Where is the nearest hospital,English
My name is John,English
I need to buy some groceries,English
She is reading a book,English
We are going to the park,English
The food was delicious,English
I have a question for you,English
Please send me the report,English
The train arrives at noon,English
I am feeling very happy,English
Can I have the menu please,English
The movie was interesting,English
I want to learn programming,English
He works at a bank,English
The children are playing outside,English
I need a cup of coffee,English
What is your phone number,English
The book is on the table,English
I am studying for my exams,English
She speaks three languages,English
The car needs some repairs,English
I enjoy cooking dinner,English
Where can I find a taxi,English
The concert starts at eight,English
I would like to order food,English
My favorite color is blue,English
The store closes at nine,English
I am waiting for the bus,English
She teaches mathematics,English
The flowers are very pretty,English
I need to charge my phone,English
What day is it today,English
The coffee tastes good,English
I am looking for a job,English
He plays football every weekend,English
The restaurant is nearby,English
I forgot my password,English
She is my best friend,English
The hotel has free wifi,English
I want to travel abroad,English
My computer is not working,English
The deadline is tomorrow,English
I like watching movies,English
Bonjour comment allez vous,French
Je vais au marché,French
Quelle heure est la réunion,French
Merci pour votre aide,French
Le temps est magnifique aujourd'hui,French
Pouvez vous m'aider s'il vous plaît,French
J'adore apprendre de nouvelles langues,French
Où est l'hôpital le plus proche,French
Je m'appelle Marie,French
J'ai besoin d'acheter des courses,French
Elle lit un livre,French
Nous allons au parc,French
Le repas était délicieux,French
J'ai une question pour vous,French
Envoyez moi le rapport s'il vous plaît,French
Le train arrive à midi,French
Je suis très heureux,French
Puis je avoir le menu s'il vous plaît,French
Le film était intéressant,French
Je veux apprendre la programmation,French
Il travaille dans une banque,French
Les enfants jouent dehors,French
J'ai besoin d'un café,French
Quel est votre numéro de téléphone,French
Le livre est sur la table,French
J'étudie pour mes examens,French
Elle parle trois langues,French
La voiture a besoin de réparations,French
J'aime cuisiner le dîner,French
Où puis je trouver un taxi,French
Le concert commence à huit heures,French
Je voudrais commander de la nourriture,French
Ma couleur préférée est le bleu,French
Le magasin ferme à neuf heures,French
J'attends le bus,French
Elle enseigne les mathématiques,French
Les fleurs sont très jolies,French
Je dois recharger mon téléphone,French
Quel jour sommes nous,French
Le café est bon,French
Je cherche un emploi,French
Il joue au football chaque weekend,French
Le restaurant est tout près,French
J'ai oublié mon mot de passe,French
Elle est ma meilleure amie,French
L'hôtel a le wifi gratuit,French
Je veux voyager à l'étranger,French
Mon ordinateur ne fonctionne pas,French
La date limite est demain,French
J'aime regarder des films,French
Olá como você está,Portuguese
Eu vou ao mercado,Portuguese
A que horas é a reunião,Portuguese
Obrigado pela sua ajuda,Portuguese
O tempo está lindo hoje,Portuguese
Você pode me ajudar por favor,Portuguese
Eu adoro aprender novas línguas,Portuguese
Onde fica o hospital mais próximo,Portuguese
Meu nome é Carlos,Portuguese
Preciso comprar algumas coisas,Portuguese
Ela está lendo um livro,Portuguese
Nós vamos ao parque,Portuguese
A comida estava deliciosa,Portuguese
Tenho uma pergunta para você,Portuguese
Por favor me envie o relatório,Portuguese
O trem chega ao meio dia,Portuguese
Estou me sentindo muito feliz,Portuguese
Posso ver o cardápio por favor,Portuguese
O filme foi interessante,Portuguese
Quero aprender programação,Portuguese
