english,korean
Hello how are you,안녕하세요 어떻게 지내세요
Good morning,좋은 아침이에요
Good night,좋은 밤 되세요
Thank you very much,정말 감사합니다
You are welcome,천만에요
I am sorry,죄송합니다
Excuse me,실례합니다
Please help me,도와주세요
I do not understand,이해하지 못하겠어요
Can you repeat that,다시 말씀해 주시겠어요
What is your name,이름이 뭐예요
My name is John,제 이름은 존입니다
Nice to meet you,만나서 반가워요
How old are you,몇 살이에요
Where are you from,어디에서 오셨어요
I am from America,저는 미국에서 왔어요
What time is it,지금 몇 시예요
Where is the bathroom,화장실이 어디예요
How much does this cost,이거 얼마예요
I would like to order,주문하고 싶어요
The food is delicious,음식이 맛있어요
Can I have the bill,계산서 주세요
I am hungry,배가 고파요
I am thirsty,목이 말라요
I am tired,피곤해요
I am happy,행복해요
I am sad,슬퍼요
I am angry,화가 나요
I am scared,무서워요
I am excited,신나요
I love you,사랑해요
I miss you,보고 싶어요
See you later,나중에 봐요
Goodbye,안녕히 가세요
Have a nice day,좋은 하루 되세요
Good luck,행운을 빌어요
Congratulations,축하해요
Happy birthday,생일 축하해요
Happy new year,새해 복 많이 받으세요
Merry Christmas,메리 크리스마스
I need help,도움이 필요해요
Call the police,경찰을 불러주세요
I am lost,길을 잃었어요
Where is the hospital,병원이 어디예요
I feel sick,아파요
I have a headache,두통이 있어요
I have a cold,감기에 걸렸어요
I am allergic,알레르기가 있어요
Please call a doctor,의사를 불러주세요
Where is the pharmacy,약국이 어디예요
I need medicine,약이 필요해요
Can I have water,물 주세요
The weather is nice,날씨가 좋아요
It is raining,비가 와요
It is snowing,눈이 와요
It is hot today,오늘 더워요
It is cold today,오늘 추워요
I like this,이거 좋아해요
I do not like this,이거 싫어요
This is good,이거 좋아요
This is bad,이거 나빠요
What is this,이게 뭐예요
Who is that,저 사람 누구예요
Where are we going,어디 가요
When does it start,언제 시작해요
Why is that,왜 그래요
How do you do this,이거 어떻게 해요
I am learning Korean,한국어를 배우고 있어요
Korean is fun,한국어가 재미있어요
Please speak slowly,천천히 말해주세요
I want to practice,연습하고 싶어요
What does this mean,이게 무슨 뜻이에요
How do you say this in Korean,이거 한국어로 뭐예요
I go to school,학교에 가요
I go to work,회사에 가요
I am a student,저는 학생이에요
I am a teacher,저는 선생님이에요
What do you do,무슨 일 하세요
I work at a company,회사에서 일해요
The meeting is at three,회의는 세 시예요
I have a question,질문이 있어요
Can you explain this,설명해 주시겠어요
I understand now,이제 이해했어요
Let us start,시작합시다
Let us finish,끝냅시다
I agree with you,동의해요
I disagree with you,동의하지 않아요
That is a good idea,좋은 생각이에요
I am not sure,확실하지 않아요
Maybe later,나중에요
Not right now,지금은 아니에요
I will think about it,생각해 볼게요
I changed my mind,마음이 바뀌었어요
I am going home,집에 가요
I am at home,집에 있어요
Please sit down,앉으세요
Please wait a moment,잠시만 기다려주세요
I will be right back,금방 올게요
Take your time,천천히 하세요
No problem,문제없어요
It is okay,괜찮아요
Do not worry,걱정하지 마세요
I will try my best,최선을 다할게요
I need to go now,이제 가야 해요
I am running late,늦었어요
See you tomorrow,내일 봐요
Have a good weekend,좋은 주말 보내세요
I enjoyed talking to you,이야기해서 좋았어요
Let us meet again,다시 만나요
Take care,잘 지내세요
I want to eat,먹고 싶어요
I want to drink,마시고 싶어요
I want to sleep,자고 싶어요
I want to rest,쉬고 싶어요
I want to go out,나가고 싶어요
I want to stay,있고 싶어요
I want to buy this,이거 사고 싶어요
I want to return this,이거 반품하고 싶어요
Can I try this on,입어봐도 될까요
This does not fit,안 맞아요
Do you have a bigger size,더 큰 사이즈 있어요
Do you have a smaller size,더 작은 사이즈 있어요
Can I pay with card,카드로 결제할 수 있어요
Can I pay with cash,현금으로 결제할 수 있어요
Where is the exit,출구가 어디예요
Where is the entrance,입구가 어디예요
I am looking for this,이거 찾고 있어요
Do you have this,이거 있어요
It is sold out,품절이에요
When will it be available,언제 들어와요
I will come back later,나중에 다시 올게요
Can you recommend something,추천해 주시겠어요
What is popular,뭐가 인기 있어요
I will take this,이거로 할게요
Please wrap it,포장해 주세요
Is this on sale,세일 중이에요
Can I get a discount,할인 받을 수 있어요
Do you deliver,배달해요
What is your phone number,전화번호가 뭐예요
Please call me,전화해 주세요
I will text you,문자할게요
I sent you a message,메시지 보냈어요
I did not receive it,못 받았어요
Please check your email,이메일 확인해 주세요
I will reply soon,곧 답장할게요
The internet is slow,인터넷이 느려요
The wifi is not working,와이파이가 안 돼요
Can you fix this,이거 고쳐주실 수 있어요
My phone is broken,핸드폰이 고장났어요
I need to charge my phone,핸드폰 충전해야 해요
Where can I charge this,어디서 충전할 수 있어요
What is the password,비밀번호가 뭐예요
Please turn on the computer,컴퓨터 켜주세요
Please turn off the lights,불 꺼주세요
It is too bright,너무 밝아요
It is too dark,너무 어두워요
Can you turn up the volume,볼륨 높여주실 수 있어요
Can you turn down the volume,볼륨 낮춰주실 수 있어요
I want to watch a movie,영화 보고 싶어요
What movie do you recommend,어떤 영화 추천해요
I like action movies,액션 영화 좋아해요
I prefer comedy movies,코미디 영화가 더 좋아요
The movie was boring,영화가 지루했어요
The movie was interesting,영화가 재미있었어요
I want to listen to music,음악 듣고 싶어요
What kind of music do you like,어떤 음악 좋아해요
I like Korean pop music,한국 팝 음악 좋아해요
Can you play this song,이 노래 틀어주실 수 있어요
I want to travel,여행하고 싶어요
Where do you want to go,어디 가고 싶어요
I want to go to Japan,일본에 가고 싶어요
I want to go to the beach,해변에 가고 싶어요
The view is beautiful,경치가 아름다워요
I took many pictures,사진 많이 찍었어요
Where is the tourist information,관광 안내소가 어디예요
Can you take a picture,사진 찍어주실 수 있어요
Please smile,웃어주세요
Let us take a selfie,셀카 찍어요
I want to book a hotel,호텔 예약하고 싶어요
Do you have a room available,빈 방 있어요
I want a single room,싱글룸 원해요
I want a double room,더블룸 원해요
What time is check in,체크인 몇 시예요
What time is check out,체크아웃 몇 시예요
Can I extend my stay,숙박 연장할 수 있어요
Where is the elevator,엘리베이터가 어디예요
The room is clean,방이 깨끗해요
The room is dirty,방이 더러워요
Can you clean the room,방 청소해 주실 수 있어요
I need more towels,수건 더 필요해요
The air conditioner is not working,에어컨이 안 돼요
The heater is not working,히터가 안 돼요
I want to order breakfast,아침 주문하고 싶어요
I want to order dinner,저녁 주문하고 싶어요
Can I have room service,룸서비스 되나요
Where is the restaurant,식당이 어디예요
I want to make a reservation,예약하고 싶어요
A table for two please,두 명 자리 부탁해요
I am vegetarian,채식주의자예요
I cannot eat pork,돼지고기 못 먹어요
I cannot eat beef,소고기 못 먹어요
Is this spicy,이거 매워요
Please make it less spicy,덜 맵게 해주세요
I would like more rice,밥 더 주세요
This is not what I ordered,이거 제가 주문한 게 아니에요
The food is too salty,음식이 너무 짜요
The food is too sweet,음식이 너무 달아요
Can I have dessert,디저트 주세요
I am full,배불러요
That was delicious,맛있었어요
Where is the bus stop,버스 정류장이 어디예요
Where is the train station,기차역이 어디예요
