english,portuguese
Hello how are you,Olá como você está
Good morning,Bom dia
Good night,Boa noite
Thank you very much,Muito obrigado
You are welcome,De nada
I am sorry,Desculpe
Excuse me,Com licença
Please help me,Por favor me ajude
I do not understand,Eu não entendo
Can you repeat that,Pode repetir
What is your name,Qual é o seu nome
My name is John,Meu nome é João
Nice to meet you,Prazer em conhecer você
How old are you,Quantos anos você tem
Where are you from,De onde você é
I am from Brazil,Eu sou do Brasil
What time is it,Que horas são
Where is the bathroom,Onde fica o banheiro
How much does this cost,Quanto custa isso
I would like to order,Eu gostaria de pedir
The food is delicious,A comida está deliciosa
Can I have the bill,Pode trazer a conta
I am hungry,Estou com fome
I am thirsty,Estou com sede
I am tired,Estou cansado
I am happy,Estou feliz
I am sad,Estou triste
I am angry,Estou com raiva
I am scared,Estou com medo
I am excited,Estou animado
I love you,Eu te amo
I miss you,Sinto sua falta
See you later,Até mais
Goodbye,Adeus
Have a nice day,Tenha um bom dia
Good luck,Boa sorte
Congratulations,Parabéns
Happy birthday,Feliz aniversário
Happy new year,Feliz ano novo
Merry Christmas,Feliz Natal
I need help,Preciso de ajuda
Call the police,Chame a polícia
I am lost,Estou perdido
Where is the hospital,Onde fica o hospital
I feel sick,Estou me sentindo mal
I have a headache,Estou com dor de cabeça
I have a cold,Estou resfriado
I am allergic,Tenho alergia
Please call a doctor,Por favor chame um médico
Where is the pharmacy,Onde fica a farmácia
I need medicine,Preciso de remédio
Can I have water,Pode me dar água
The weather is nice,O tempo está bom
It is raining,Está chovendo
It is snowing,Está nevando
It is hot today,Está quente hoje
It is cold today,Está frio hoje
I like this,Eu gosto disso
I do not like this,Não gosto disso
This is good,Isso é bom
This is bad,Isso é ruim
What is this,O que é isso
Who is that,Quem é aquele
Where are we going,Para onde estamos indo
When does it start,Quando começa
Why is that,Por que isso
How do you do this,Como se faz isso
I am learning Portuguese,Estou aprendendo português
Portuguese is fun,Português é divertido
Please speak slowly,Por favor fale devagar
I want to practice,Quero praticar
What does this mean,O que isso significa
How do you say this in Portuguese,Como se diz isso em português
I go to school,Eu vou para a escola
I go to work,Eu vou para o trabalho
I am a student,Sou estudante
I am a teacher,Sou professor
What do you do,O que você faz
I work at a company,Eu trabalho em uma empresa
The meeting is at three,A reunião é às três
I have a question,Tenho uma pergunta
Can you explain this,Pode explicar isso
I understand now,Agora eu entendo
Let us start,Vamos começar
Let us finish,Vamos terminar
I agree with you,Concordo com você
I disagree with you,Discordo de você
That is a good idea,Essa é uma boa ideia
I am not sure,Não tenho certeza
Maybe later,Talvez depois
Not right now,Agora não
I will think about it,Vou pensar nisso
I changed my mind,Mudei de ideia
I am going home,Estou indo para casa
I am at home,Estou em casa
Please sit down,Por favor sente se
Please wait a moment,Por favor espere um momento
I will be right back,Já volto
Take your time,Não se apresse
No problem,Sem problema
It is okay,Está tudo bem
Do not worry,Não se preocupe
I will try my best,Vou fazer o meu melhor
I need to go now,Preciso ir agora
I am running late,Estou atrasado
See you tomorrow,Até amanhã
Have a good weekend,Bom fim de semana
I enjoyed talking to you,Gostei de conversar com você
Let us meet again,Vamos nos encontrar de novo
Take care,Cuide se
I want to eat,Quero comer
I want to drink,Quero beber
I want to sleep,Quero dormir
I want to rest,Quero descansar
I want to go out,Quero sair
I want to stay,Quero ficar
I want to buy this,Quero comprar isso
I want to return this,Quero devolver isso
Can I try this on,Posso experimentar
This does not fit,Não serve
Do you have a bigger size,Tem um tamanho maior
Do you have a smaller size,Tem um tamanho menor
Can I pay with card,Posso pagar com cartão
Can I pay with cash,Posso pagar em dinheiro
Where is the exit,Onde fica a saída
Where is the entrance,Onde fica a entrada
I am looking for this,Estou procurando isso
Do you have this,Vocês têm isso
It is sold out,Está esgotado
When will it be available,Quando estará disponível
I will come back later,Volto mais tarde
Can you recommend something,Pode recomendar algo
What is popular,O que é popular
I will take this,Vou levar esse
Please wrap it,Por favor embrulhe
Is this on sale,Isso está em promoção
Can I get a discount,Posso ter um desconto
Do you deliver,Vocês entregam
What is your phone number,Qual é o seu número de telefone
Please call me,Por favor me ligue
I will text you,Vou te mandar mensagem
I sent you a message,Enviei uma mensagem
I did not receive it,Não recebi
Please check your email,Por favor verifique seu email
I will reply soon,Vou responder em breve
The internet is slow,A internet está lenta
The wifi is not working,O wifi não está funcionando
Can you fix this,Pode consertar isso
My phone is broken,Meu celular quebrou
I need to charge my phone,Preciso carregar meu celular
Where can I charge this,Onde posso carregar isso
What is the password,Qual é a senha
Please turn on the computer,Por favor ligue o computador
Please turn off the lights,Por favor apague as luzes
It is too bright,Está muito claro
It is too dark,Está muito escuro
Can you turn up the volume,Pode aumentar o volume
Can you turn down the volume,Pode diminuir o volume
I want to watch a movie,Quero assistir um filme
What movie do you recommend,Que filme você recomenda
I like action movies,Gosto de filmes de ação
I prefer comedy movies,Prefiro filmes de comédia
The movie was boring,O filme foi chato
The movie was interesting,O filme foi interessante
I want to listen to music,Quero ouvir música
What kind of music do you like,Que tipo de música você gosta
I like Brazilian music,Gosto de música brasileira
Can you play this song,Pode tocar essa música
I want to travel,Quero viajar
Where do you want to go,Para onde você quer ir
I want to go to Portugal,Quero ir para Portugal
I want to go to the beach,Quero ir para a praia
The view is beautiful,A vista é linda
I took many pictures,Tirei muitas fotos
Where is the tourist information,Onde fica a informação turística
Can you take a picture,Pode tirar uma foto
Please smile,Por favor sorria
Let us take a selfie,Vamos tirar uma selfie
I want to book a hotel,Quero reservar um hotel
Do you have a room available,Vocês têm um quarto disponível
I want a single room,Quero um quarto de solteiro
I want a double room,Quero um quarto de casal
What time is check in,Que horas é o check in
What time is check out,Que horas é o check out
Can I extend my stay,Posso estender minha estadia
Where is the elevator,Onde fica o elevador
The room is clean,O quarto está limpo
The room is dirty,O quarto está sujo
Can you clean the room,Pode limpar o quarto
I need more towels,Preciso de mais toalhas
The air conditioner is not working,O ar condicionado não está funcionando
The heater is not working,O aquecedor não está funcionando
I want to order breakfast,Quero pedir café da manhã
I want to order dinner,Quero pedir jantar
Can I have room service,Tem serviço de quarto
Where is the restaurant,Onde fica o restaurante
I want to make a reservation,Quero fazer uma reserva
A table for two please,Uma mesa para dois por favor
I am vegetarian,Sou vegetariano
I cannot eat pork,Não posso comer carne de porco
I cannot eat beef,Não posso comer carne bovina
Is this spicy,Isso é picante
Please make it less spicy,Por favor faça menos picante
I would like more rice,Gostaria de mais arroz
