english,french
Hello how are you,Bonjour comment allez vous
Good morning,Bonjour
Good night,Bonne nuit
Thank you very much,Merci beaucoup
You are welcome,De rien
I am sorry,Je suis désolé
Excuse me,Excusez moi
Please help me,Aidez moi s'il vous plaît
I do not understand,Je ne comprends pas
Can you repeat that,Pouvez vous répéter
What is your name,Comment vous appelez vous
My name is John,Je m'appelle Jean
Nice to meet you,Enchanté de vous rencontrer
How old are you,Quel âge avez vous
Where are you from,D'où venez vous
I am from France,Je viens de France
What time is it,Quelle heure est il
Where is the bathroom,Où sont les toilettes
How much does this cost,Combien ça coûte
I would like to order,Je voudrais commander
The food is delicious,La nourriture est délicieuse
Can I have the bill,L'addition s'il vous plaît
I am hungry,J'ai faim
I am thirsty,J'ai soif
I am tired,Je suis fatigué
I am happy,Je suis heureux
I am sad,Je suis triste
I am angry,Je suis en colère
I am scared,J'ai peur
I am excited,Je suis excité
I love you,Je t'aime
I miss you,Tu me manques
See you later,À plus tard
Goodbye,Au revoir
Have a nice day,Bonne journée
Good luck,Bonne chance
Congratulations,Félicitations
Happy birthday,Joyeux anniversaire
Happy new year,Bonne année
Merry Christmas,Joyeux Noël
I need help,J'ai besoin d'aide
Call the police,Appelez la police
I am lost,Je suis perdu
Where is the hospital,Où est l'hôpital
I feel sick,Je me sens mal
I have a headache,J'ai mal à la tête
I have a cold,J'ai un rhume
I am allergic,Je suis allergique
Please call a doctor,Appelez un médecin s'il vous plaît
Where is the pharmacy,Où est la pharmacie
I need medicine,J'ai besoin de médicaments
Can I have water,Puis je avoir de l'eau
The weather is nice,Il fait beau
It is raining,Il pleut
It is snowing,Il neige
It is hot today,Il fait chaud aujourd'hui
It is cold today,Il fait froid aujourd'hui
I like this,J'aime ça
I do not like this,Je n'aime pas ça
This is good,C'est bien
This is bad,C'est mal
What is this,Qu'est ce que c'est
Who is that,Qui est ce
Where are we going,Où allons nous
When does it start,Quand ça commence
Why is that,Pourquoi
How do you do this,Comment fait on ça
I am learning French,J'apprends le français
French is fun,Le français c'est amusant
Please speak slowly,Parlez lentement s'il vous plaît
I want to practice,Je veux m'entraîner
What does this mean,Que signifie cela
How do you say this in French,Comment dit on ça en français
I go to school,Je vais à l'école
I go to work,Je vais au travail
I am a student,Je suis étudiant
I am a teacher,Je suis professeur
What do you do,Que faites vous
I work at a company,Je travaille dans une entreprise
The meeting is at three,La réunion est à trois heures
I have a question,J'ai une question
Can you explain this,Pouvez vous expliquer cela
I understand now,Je comprends maintenant
Let us start,Commençons
Let us finish,Finissons
I agree with you,Je suis d'accord avec vous
I disagree with you,Je ne suis pas d'accord avec vous
That is a good idea,C'est une bonne idée
I am not sure,Je ne suis pas sûr
Maybe later,Peut être plus tard
Not right now,Pas maintenant
I will think about it,J'y réfléchirai
I changed my mind,J'ai changé d'avis
I am going home,Je rentre chez moi
I am at home,Je suis chez moi
Please sit down,Asseyez vous s'il vous plaît
Please wait a moment,Attendez un moment s'il vous plaît
I will be right back,Je reviens tout de suite
Take your time,Prenez votre temps
No problem,Pas de problème
It is okay,C'est bien
Do not worry,Ne vous inquiétez pas
I will try my best,Je ferai de mon mieux
I need to go now,Je dois partir maintenant
I am running late,Je suis en retard
See you tomorrow,À demain
Have a good weekend,Bon week end
I enjoyed talking to you,J'ai aimé parler avec vous
Let us meet again,Retrouvons nous
Take care,Prenez soin de vous
I want to eat,Je veux manger
I want to drink,Je veux boire
I want to sleep,Je veux dormir
I want to rest,Je veux me reposer
I want to go out,Je veux sortir
I want to stay,Je veux rester
I want to buy this,Je veux acheter ça
I want to return this,Je veux retourner ça
Can I try this on,Puis je l'essayer
This does not fit,Ça ne va pas
Do you have a bigger size,Avez vous une taille plus grande
Do you have a smaller size,Avez vous une taille plus petite
Can I pay with card,Puis je payer par carte
Can I pay with cash,Puis je payer en espèces
Where is the exit,Où est la sortie
Where is the entrance,Où est l'entrée
I am looking for this,Je cherche ceci
Do you have this,Avez vous ceci
It is sold out,C'est épuisé
When will it be available,Quand sera t il disponible
I will come back later,Je reviendrai plus tard
Can you recommend something,Pouvez vous recommander quelque chose
What is popular,Qu'est ce qui est populaire
I will take this,Je vais prendre ça
Please wrap it,Emballez le s'il vous plaît
Is this on sale,C'est en solde
Can I get a discount,Puis je avoir une réduction
Do you deliver,Livrez vous
What is your phone number,Quel est votre numéro de téléphone
Please call me,Appelez moi s'il vous plaît
I will text you,Je vais vous envoyer un message
I sent you a message,Je vous ai envoyé un message
I did not receive it,Je ne l'ai pas reçu
Please check your email,Vérifiez votre email s'il vous plaît
I will reply soon,Je répondrai bientôt
The internet is slow,Internet est lent
The wifi is not working,Le wifi ne fonctionne pas
Can you fix this,Pouvez vous réparer ça
My phone is broken,Mon téléphone est cassé
I need to charge my phone,Je dois charger mon téléphone
Where can I charge this,Où puis je charger ceci
What is the password,Quel est le mot de passe
Please turn on the computer,Allumez l'ordinateur s'il vous plaît
Please turn off the lights,Éteignez les lumières s'il vous plaît
It is too bright,C'est trop lumineux
It is too dark,C'est trop sombre
Can you turn up the volume,Pouvez vous monter le volume
Can you turn down the volume,Pouvez vous baisser le volume
I want to watch a movie,Je veux regarder un film
What movie do you recommend,Quel film recommandez vous
I like action movies,J'aime les films d'action
I prefer comedy movies,Je préfère les comédies
The movie was boring,Le film était ennuyeux
The movie was interesting,Le film était intéressant
I want to listen to music,Je veux écouter de la musique
What kind of music do you like,Quel genre de musique aimez vous
I like French music,J'aime la musique française
Can you play this song,Pouvez vous jouer cette chanson
I want to travel,Je veux voyager
Where do you want to go,Où voulez vous aller
I want to go to Paris,Je veux aller à Paris
I want to go to the beach,Je veux aller à la plage
The view is beautiful,La vue est magnifique
I took many pictures,J'ai pris beaucoup de photos
Where is the tourist information,Où est l'office de tourisme
Can you take a picture,Pouvez vous prendre une photo
Please smile,Souriez s'il vous plaît
Let us take a selfie,Prenons un selfie
I want to book a hotel,Je veux réserver un hôtel
Do you have a room available,Avez vous une chambre disponible
I want a single room,Je veux une chambre simple
I want a double room,Je veux une chambre double
What time is check in,À quelle heure est l'enregistrement
What time is check out,À quelle heure est le départ
Can I extend my stay,Puis je prolonger mon séjour
Where is the elevator,Où est l'ascenseur
The room is clean,La chambre est propre
The room is dirty,La chambre est sale
Can you clean the room,Pouvez vous nettoyer la chambre
I need more towels,J'ai besoin de plus de serviettes
