english,urdu
Hello how are you,ہیلو آپ کیسے ہیں
Good morning,صبح بخیر
Good night,شب بخیر
Thank you very much,بہت شکریہ
You are welcome,کوئی بات نہیں
I am sorry,مجھے افسوس ہے
Excuse me,معاف کیجئے
Please help me,براہ کرم میری مدد کریں
I do not understand,میں نہیں سمجھتا
Can you repeat that,کیا آپ دہرا سکتے ہیں
What is your name,آپ کا نام کیا ہے
My name is Ali,میرا نام علی ہے
Nice to meet you,آپ سے مل کر خوشی ہوئی
How old are you,آپ کی عمر کتنی ہے
Where are you from,آپ کہاں سے ہیں
I am from Pakistan,میں پاکستان سے ہوں
What time is it,کیا وقت ہوا ہے
Where is the bathroom,باتھ روم کہاں ہے
How much does this cost,اس کی قیمت کتنی ہے
I would like to order,میں آرڈر دینا چاہتا ہوں
The food is delicious,کھانا مزیدار ہے
Can I have the bill,بل دے دیں
I am hungry,مجھے بھوک لگی ہے
I am thirsty,مجھے پیاس لگی ہے
I am tired,میں تھکا ہوا ہوں
I am happy,میں خوش ہوں
I am sad,میں اداس ہوں
I am angry,میں ناراض ہوں
I am scared,مجھے ڈر لگ رہا ہے
I am excited,میں پرجوش ہوں
I love you,میں تم سے پیار کرتا ہوں
I miss you,مجھے تمہاری یاد آتی ہے
See you later,بعد میں ملتے ہیں
Goodbye,اللہ حافظ
Have a nice day,اچھا دن گزاریں
Good luck,نیک تمنائیں
Congratulations,مبارک ہو
Happy birthday,سالگرہ مبارک
Happy new year,نیا سال مبارک
Eid Mubarak,عید مبارک
I need help,مجھے مدد چاہیے
Call the police,پولیس کو بلاؤ
I am lost,میں گم ہو گیا ہوں
Where is the hospital,ہسپتال کہاں ہے
I feel sick,میں بیمار ہوں
I have a headache,میرے سر میں درد ہے
I have a cold,مجھے زکام ہے
I am allergic,مجھے الرجی ہے
Please call a doctor,براہ کرم ڈاکٹر کو بلائیں
Where is the pharmacy,دوائی کی دکان کہاں ہے
I need medicine,مجھے دوائی چاہیے
Can I have water,پانی مل سکتا ہے
The weather is nice,موسم اچھا ہے
It is raining,بارش ہو رہی ہے
It is snowing,برف پڑ رہی ہے
It is hot today,آج گرمی ہے
It is cold today,آج سردی ہے
I like this,مجھے یہ پسند ہے
I do not like this,مجھے یہ پسند نہیں
This is good,یہ اچھا ہے
This is bad,یہ برا ہے
What is this,یہ کیا ہے
Who is that,وہ کون ہے
Where are we going,ہم کہاں جا رہے ہیں
When does it start,یہ کب شروع ہوگا
Why is that,ایسا کیوں
How do you do this,یہ کیسے کرتے ہیں
I am learning Urdu,میں اردو سیکھ رہا ہوں
Urdu is fun,اردو مزیدار ہے
Please speak slowly,براہ کرم آہستہ بولیں
I want to practice,میں مشق کرنا چاہتا ہوں
What does this mean,اس کا کیا مطلب ہے
How do you say this in Urdu,اسے اردو میں کیا کہتے ہیں
I go to school,میں سکول جاتا ہوں
I go to work,میں کام پر جاتا ہوں
I am a student,میں طالب علم ہوں
I am a teacher,میں استاد ہوں
What do you do,آپ کیا کرتے ہیں
I work at a company,میں کمپنی میں کام کرتا ہوں
The meeting is at three,میٹنگ تین بجے ہے
I have a question,میرا ایک سوال ہے
Can you explain this,کیا آپ یہ سمجھا سکتے ہیں
I understand now,اب میں سمجھ گیا
Let us start,شروع کرتے ہیں
Let us finish,ختم کرتے ہیں
I agree with you,میں آپ سے متفق ہوں
I disagree with you,میں آپ سے متفق نہیں ہوں
That is a good idea,یہ اچھا خیال ہے
I am not sure,مجھے یقین نہیں
Maybe later,شاید بعد میں
Not right now,ابھی نہیں
I will think about it,میں سوچوں گا
I changed my mind,میں نے اپنا ارادہ بدل دیا
I am going home,میں گھر جا رہا ہوں
I am at home,میں گھر پر ہوں
Please sit down,براہ کرم بیٹھیں
Please wait a moment,براہ کرم ایک لمحہ انتظار کریں
I will be right back,میں ابھی آتا ہوں
Take your time,آرام سے
No problem,کوئی مسئلہ نہیں
It is okay,ٹھیک ہے
Do not worry,فکر نہ کریں
I will try my best,میں پوری کوشش کروں گا
I need to go now,مجھے اب جانا ہے
I am running late,مجھے دیر ہو رہی ہے
See you tomorrow,کل ملتے ہیں
Have a good weekend,اچھا ہفتہ گزاریں
I enjoyed talking to you,آپ سے بات کر کے خوشی ہوئی
Let us meet again,پھر ملتے ہیں
Take care,اپنا خیال رکھیں
I want to eat,میں کھانا چاہتا ہوں
I want to drink,میں پینا چاہتا ہوں
I want to sleep,میں سونا چاہتا ہوں
I want to rest,میں آرام کرنا چاہتا ہوں
I want to go out,میں باہر جانا چاہتا ہوں
I want to stay,میں رہنا چاہتا ہوں
I want to buy this,میں یہ خریدنا چاہتا ہوں
I want to return this,میں یہ واپس کرنا چاہتا ہوں
Can I try this on,کیا میں یہ پہن کر دیکھ سکتا ہوں
This does not fit,یہ فٹ نہیں ہے
Do you have a bigger size,کیا بڑا سائز ہے
Do you have a smaller size,کیا چھوٹا سائز ہے
Can I pay with card,کیا میں کارڈ سے ادا کر سکتا ہوں
Can I pay with cash,کیا میں نقد ادا کر سکتا ہوں
Where is the exit,باہر نکلنے کا راستہ کہاں ہے
Where is the entrance,داخلے کا راستہ کہاں ہے
I am looking for this,میں یہ ڈھونڈ رہا ہوں
Do you have this,کیا یہ آپ کے پاس ہے
It is sold out,یہ ختم ہو گیا ہے
When will it be available,یہ کب ملے گا
I will come back later,میں بعد میں آؤں گا
Can you recommend something,کیا آپ کچھ تجویز کر سکتے ہیں
What is popular,کیا مشہور ہے
I will take this,میں یہ لے لیتا ہوں
Please wrap it,براہ کرم پیک کر دیں
Is this on sale,کیا یہ سیل پر ہے
Can I get a discount,کیا رعایت مل سکتی ہے
Do you deliver,کیا آپ ڈلیوری کرتے ہیں
What is your phone number,آپ کا فون نمبر کیا ہے
Please call me,مجھے فون کریں
I will text you,میں آپ کو میسج کروں گا
I sent you a message,میں نے آپ کو پیغام بھیجا
I did not receive it,مجھے نہیں ملا
Please check your email,اپنا ای میل چیک کریں
I will reply soon,میں جلد جواب دوں گا
The internet is slow,انٹرنیٹ سست ہے
The wifi is not working,وائی فائی کام نہیں کر رہا
Can you fix this,کیا آپ یہ ٹھیک کر سکتے ہیں
My phone is broken,میرا فون خراب ہو گیا
I need to charge my phone,مجھے فون چارج کرنا ہے
Where can I charge this,یہ کہاں چارج ہو سکتا ہے
What is the password,پاس ورڈ کیا ہے
Please turn on the computer,کمپیوٹر آن کریں
Please turn off the lights,لائٹس بند کریں
It is too bright,بہت تیز روشنی ہے
It is too dark,بہت اندھیرا ہے
Can you turn up the volume,آواز بڑھا دیں
Can you turn down the volume,آواز کم کر دیں
I want to watch a movie,میں فلم دیکھنا چاہتا ہوں
What movie do you recommend,آپ کون سی فلم تجویز کرتے ہیں
I like action movies,مجھے ایکشن فلمیں پسند ہیں
I prefer comedy movies,مجھے کامیڈی فلمیں زیادہ پسند ہیں
The movie was boring,فلم بورنگ تھی
The movie was interesting,فلم دلچسپ تھی
I want to listen to music,میں موسیقی سننا چاہتا ہوں
What kind of music do you like,آپ کو کس قسم کی موسیقی پسند ہے
I like Pakistani music,مجھے پاکستانی موسیقی پسند ہے
Can you play this song,یہ گانا چلائیں
I want to travel,میں سفر کرنا چاہتا ہوں
Where do you want to go,آپ کہاں جانا چاہتے ہیں
I want to go to Lahore,میں لاہور جانا چاہتا ہوں
I want to go to the mountains,میں پہاڑوں پر جانا چاہتا ہوں
The view is beautiful,منظر خوبصورت ہے
I took many pictures,میں نے بہت تصویریں لیں
Where is the tourist information,سیاحتی معلومات کہاں ملیں گی
Can you take a picture,کیا آپ تصویر لے سکتے ہیں
Please smile,مسکرائیں
Let us take a selfie,سیلفی لیتے ہیں
I want to book a hotel,میں ہوٹل بک کرنا چاہتا ہوں
Do you have a room available,کیا کمرہ خالی ہے
I want a single room,مجھے سنگل کمرہ چاہیے
I want a double room,مجھے ڈبل کمرہ چاہیے
What time is check in,چیک ان کا وقت کیا ہے
What time is check out,چیک آؤٹ کا وقت کیا ہے
Can I extend my stay,کیا میں قیام بڑھا سکتا ہوں
Where is the elevator,لفٹ کہاں ہے
The room is clean,کمرہ صاف ہے
The room is dirty,کمرہ گندا ہے
Can you clean the room,کمرہ صاف کر دیں
I need more towels,مجھے مزید تولیے چاہیے
The air conditioner is not working,ایئر کنڈیشنر کام نہیں کر رہا
The heater is not working,ہیٹر کام نہیں کر رہا
I want to order breakfast,میں ناشتہ منگوانا چاہتا ہوں
I want to order dinner,میں رات کا کھانا منگوانا چاہتا ہوں
Can I have room service,کیا روم سروس ہے
Where is the restaurant,ریستوران کہاں ہے
I want to make a reservation,میں بکنگ کرانا چاہتا ہوں
A table for two please,دو لوگوں کے لیے میز دیں
I am vegetarian,میں سبزی خور ہوں
I cannot eat pork,میں سور کا گوشت نہیں کھا سکتا
I cannot eat beef,میں گائے کا گوشت نہیں کھا سکتا
Is this spicy,کیا یہ تیکھا ہے
Please make it less spicy,کم مرچ ڈالیں
I would like more rice,مزید چاول دیں
This is not what I ordered,یہ میرا آرڈر نہیں ہے
The food is too salty,کھانا بہت نمکین ہے
The food is too sweet,کھانا بہت میٹھا ہے
Can I have dessert,میٹھا مل سکتا ہے
I am full,میرا پیٹ بھر گیا
That was delicious,بہت مزیدار تھا
Where is the bus stop,بس اسٹاپ کہاں ہے
Where is the train station,ریلوے اسٹیشن کہاں ہے
Where is the subway station,میٹرو اسٹیشن کہاں ہے
How do I get there,وہاں کیسے پہنچوں
Which bus should I take,کون سی بس لوں
Which train should I take,کون سی ٹرین لوں
How long does it take,کتنا وقت لگتا ہے
Is this seat taken,کیا یہ سیٹ خالی ہے
Please stop here,یہاں روک دیں
I missed my stop,میرا اسٹاپ نکل گیا
I need to transfer,مجھے گاڑی بدلنی ہے
Where do I transfer,کہاں گاڑی بدلوں
The bus is crowded,بس میں بہت بھیڑ ہے
The train is delayed,ٹرین میں تاخیر ہے
I want to buy a ticket,میں ٹکٹ خریدنا چاہتا ہوں
A round trip ticket please,واپسی کا ٹکٹ دیں
A one way ticket please,ایک طرفہ ٹکٹ دیں
Where is the airport,ایئرپورٹ کہاں ہے
What time does the flight leave,فلائٹ کتنے بجے روانہ ہوگی
What time does the flight arrive,فلائٹ کتنے بجے پہنچے گی
Where is the gate,گیٹ کہاں ہے
My luggage is lost,میرا سامان گم ہو گیا
I need to check in,مجھے چیک ان کرنا ہے
Can I have a window seat,کھڑکی والی سیٹ دیں
Can I have an aisle seat,راستے والی سیٹ دیں
Fasten your seatbelt,سیٹ بیلٹ باندھ لیں
We are about to land,ہم اترنے والے ہیں
Welcome to Pakistan,پاکستان میں خوش آمدید
I am here on vacation,میں چھٹیوں پر آیا ہوں
I am here on business,میں کام کے لیے آیا ہوں
How long will you stay,آپ کتنے دن رہیں گے
I will stay for one week,میں ایک ہفتہ رہوں گا
Have a safe trip,سفر محفوظ ہو
I had a great time,بہت مزہ آیا
I want to come back,میں واپس آنا چاہتا ہوں
Please take care,اپنا خیال رکھیں
Until we meet again,پھر ملیں گے
I really enjoyed meeting you,آپ سے مل کر بہت خوشی ہوئی
Thank you for everything,ہر چیز کا شکریہ
I will never forget this,میں یہ کبھی نہیں بھولوں گا
Best wishes to you,نیک تمنائیں
Keep in touch,رابطے میں رہیں
I hope to see you soon,امید ہے جلد ملیں گے
Please visit me sometime,کبھی ملنے آئیں
My door is always open,میرے دروازے ہمیشہ کھلے ہیں
Wishing you happiness,خوشیاں مانگتا ہوں
May all your dreams come true,آپ کے سب خواب پورے ہوں
I believe in you,مجھے آپ پر یقین ہے
You can do it,آپ کر سکتے ہیں
Never give up,کبھی ہار نہ مانیں
Follow your heart,اپنے دل کی سنیں
Everything will be okay,سب ٹھیک ہو جائے گا
Tomorrow is a new day,کل نیا دن ہے
Stay positive,مثبت رہیں
Life is beautiful,زندگی خوبصورت ہے
Enjoy every moment,ہر لمحے کا مزہ لیں
Make the most of today,آج کا بھرپور فائدہ اٹھائیں
I am grateful for you,میں آپ کا شکرگزار ہوں
You are special,آپ خاص ہیں
You are amazing,آپ حیرت انگیز ہیں
You inspire me,آپ مجھے متاثر کرتے ہیں
Thank you for being you,آپ کا شکریہ جیسے آپ ہیں
I appreciate your kindness,آپ کی مہربانی کی قدر کرتا ہوں
Your help means a lot,آپ کی مدد بہت اہم ہے
I could not have done it without you,آپ کے بغیر میں یہ نہیں کر سکتا تھا
You made my day,آپ نے میرا دن بنا دیا
Let us celebrate,چلیں جشن منائیں
